Company_ID,Ticker,Company_Name,Is_Active,Sector,Industry,Country
CMP001,AAPL,Apple,Active,Technology,Computer Manufacturing,United States
CMP002,ABBV,AbbVie,Active,Health Care,Biotechnology: Pharmaceutical Preparations,United States
CMP003,ADBE,Adobe,Active,Technology,Computer Software: Prepackaged Software,United States
CMP004,AMAT,Applied Materials,Active,Technology,Semiconductors,United States
CMP005,AMT,American Tower,Active,Real Estate,Real Estate Investment Trusts,United States
CMP006,AOS,A O Smith,Active,Consumer Discretionary,Consumer Electronics/Appliances,United States
CMP007,AVGO,Broadcom,Active,Technology,Semiconductors,United States
CMP008,AWR,American States Water,Active,Utilities,Water Supply,United States
CMP009,BTBT,Bit Digital,Active,Finance,Finance: Consumer Services,United States
CMP010,BYND,Beyond Meat,Active,Consumer Staples,Packaged Foods,United States
CMP011,CAT,Caterpillar,Active,Industrials,Construction/Ag Equipment/Trucks,United States
CMP012,CMCSA,Comcast,Active,Telecommunications,Cable & Other Pay Television Services,United States
CMP013,COST,Costco Wholesale,Active,Consumer Discretionary,Department/Specialty Retail Stores,United States
CMP014,CRM,Salesforce,Active,Technology,Computer Software: Prepackaged Software,United States
CMP015,CRON,Cronos,Active,Health Care, Medicinal Chemicals and Botanical Products ,Canada
CMP016,CVS,CVS Health,Active,Consumer Staples,Retail-Drug Stores and Proprietary Stores,United States
CMP017,CWEN,Clearway Energy,Active,Utilities,Electric Utilities: Central,United States
CMP018,CWEN/A,Clearway Energy,Active,Unknown,Unknown,USA
CMP019,DIS,Walt Disney,Active,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States
CMP020,DLR,Digital Realty Trust,Active,Real Estate,Real Estate Investment Trusts,United States
CMP021,ECL,Ecolab,Active,Consumer Discretionary,Package Goods/Cosmetics,United States
CMP022,EXPE,Expedia,Active,Consumer Discretionary,Transportation Services,United States
CMP023,EXR,Extra Space Storage,Active,Real Estate,Real Estate Investment Trusts,United States
CMP024,FSLY,Fastly,Active,Technology,Computer Software: Prepackaged Software,United States
CMP025,GMRE,Global Medical REIT,Active,Unknown,Unknown,USA
CMP026,GOOD,Gladstone Commercial,Active,Real Estate,Real Estate,United States
CMP027,GOOGL,Alphabet (Class A),Active,Technology,Computer Software: Programming Data Processing,United States
CMP028,HASI,Hannon Armstrong Sustainable Infrastructure Capital,Active,Finance,Finance/Investors Services,United States
CMP029,HD,Home Depot,Active,Consumer Discretionary,RETAIL: Building Materials,United States
CMP030,HI,Hillenbrand,Active,Unknown,Unknown,USA
CMP031,HON,Honeywell International,Active,Industrials,Aerospace,United States
CMP032,HRZN,Horizon Technology Finance,Active,Finance,Finance: Consumer Services,United States
CMP033,ICE,Intercontinental Exchange,Active,Finance,Investment Bankers/Brokers/Service,United States
CMP034,INTU,Intuit,Active,Technology,Computer Software: Prepackaged Software,United States
CMP035,JNJ,Johnson & Johnson,Active,Health Care,Biotechnology: Pharmaceutical Preparations,United States
CMP036,JPM,JPMorgan Chase & Co,Active,Finance,Major Banks,United States
CMP037,LTC,LTC Properties,Active,Real Estate,Real Estate Investment Trusts,United States
CMP038,LVGO,Livongo,Active,Unknown,Unknown,USA
CMP039,MA,Mastercard,Active,Consumer Discretionary,Business Services,United States
CMP040,MCO,Moody's,Active,Finance,Finance: Consumer Services,United States
CMP041,MDT,Medtronic,Active,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,United States
CMP042,META,Meta Platforms,Active,Technology,Computer Software: Programming Data Processing,United States
CMP043,MMM,3M,Active,Health Care,Medical/Dental Instruments,United States
CMP044,MRK,Merck & Co,Active,Health Care,Biotechnology: Pharmaceutical Preparations,United States
CMP045,MTB,M&T Bank,Active,Finance,Major Banks,United States
CMP046,NEE,NextEra Energy,Active,Technology,EDP Services,United States
CMP047,NET,Cloudflare,Active,Technology,Computer Software: Prepackaged Software,United States
CMP048,NFLX,Netflix,Active,Consumer Discretionary,Consumer Electronics/Video Chains,United States
CMP049,NG,National Grid,Active,Basic Materials,Precious Metals,Canada
CMP050,NKE,Nike,Active,Consumer Discretionary,Shoe Manufacturing,United States
CMP051,NLY,Annaly Capital Management,Active,Real Estate,Real Estate Investment Trusts,United States
CMP052,NYMT,New York Mortgage Trust,Active,Unknown,Unknown,USA
CMP053,O,Realty Income,Active,Real Estate,Real Estate Investment Trusts,United States
CMP054,OHI,Omega Healthcare Investors,Active,Real Estate,Real Estate Investment Trusts,United States
CMP055,ONL,Orion Office REIT,Active,Real Estate,Real Estate Investment Trusts,United States
CMP056,PBCT,People's United Financial,Active,Unknown,Unknown,USA
CMP057,PETS,PetMed Express,Active,Consumer Staples,Retail-Drug Stores and Proprietary Stores,United States
CMP058,PSA,Public Storage,Active,Real Estate,Real Estate Investment Trusts,United States
CMP059,QCOM,Qualcomm,Active,Technology,Radio And Television Broadcasting And Communications Equipment,United States
CMP060,RIOT,Riot Platforms,Active,Finance,Finance: Consumer Services,United States
CMP061,RITM,Rithm Capital,Active,Real Estate,Real Estate Investment Trusts,United States
CMP062,SBNY,Signature Bank,Active,Unknown,Unknown,USA
CMP063,SCI,Service Corp International,Active,Consumer Discretionary,Other Consumer Services,United States
CMP064,SEDG,SolarEdge Technologies,Active,Technology,Semiconductors,Israel
CMP065,SICP,Silvergate Capital,Active,Unknown,Unknown,USA
CMP066,SNOW,Snowflake,Active,Technology,Computer Software: Prepackaged Software,United States
CMP067,SPG,Simon Property,Active,Real Estate,Real Estate Investment Trusts,United States
CMP068,SPGI,S&P Global,Active,Finance,Finance: Consumer Services,United States
CMP069,STOR,STORE Capital,Active,Unknown,Unknown,USA
CMP070,STX,Seagate Technology,Active,Technology,Electronic Components,Ireland
CMP071,T,AT&T,Active,Telecommunications,Telecommunications Equipment,United States
CMP072,TGT,Target,Active,Consumer Discretionary,Department/Specialty Retail Stores,United States
CMP073,UBER,Uber Technologies,Active,Consumer Discretionary,Business Services,United States
CMP074,UNH,UnitedHealth,Active,Health Care,Medical Specialities,United States
CMP075,UNP,Union Pacific,Active,Industrials,Railroads,United States
CMP076,V,Visa,Active,Consumer Discretionary,Business Services,United States
CMP077,VICI,VICI Properties,Active,Real Estate,Real Estate Investment Trusts,United States
CMP078,VZ,Verizon Communications,Active,Telecommunications,Telecommunications Equipment,United States
CMP079,WBD,Warner Bros Discovery,Active,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States
CMP080,WELL,Welltower,Active,Real Estate,Real Estate Investment Trusts,United States
CMP081,WM,Waste Management,Active,Utilities,Environmental Services,United States
CMP082,WORK,Slack,Active,Unknown,Unknown,USA
CMP083,WTRG,Essential Utilities,Active,Utilities,Water Supply,United States
CMP084,AMZN,Amazon,Active,Technology,Internet Retail,United States
CMP085,NNN,NNN REIT,Active,Real Estate,Real Estate Investment Trusts,United States
